,arr_time,dep_time,dur_hours,dur_minutes,parse_time,fl_class,fl_from,fl_to
116,2013-05-15 17:55,2013-05-15 11:40,8,15,2013-05-10 23:51,E,MOW,PAR
117,2013-05-28 21:30,2013-05-28 12:40,6,50,2013-05-10 23:51,E,MOW,PAR
118,2013-05-28 22:30,2013-05-28 12:40,7,50,2013-05-10 23:51,E,MOW,PAR
119,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
120,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
121,2013-05-28 20:05,2013-05-28 11:00,7,5,2013-05-10 23:51,E,MOW,PAR
122,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
123,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
124,2013-05-28 14:50,2013-05-28 07:00,5,50,2013-05-10 23:51,E,MOW,PAR
125,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
126,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
127,2013-05-28 14:45,2013-05-28 06:10,6,35,2013-05-10 23:51,E,MOW,PAR
128,2013-05-15 11:05,2013-05-15 05:50,7,15,2013-05-10 23:51,E,MOW,PAR
129,2013-05-15 23:25,2013-05-15 17:45,7,40,2013-05-10 23:51,E,MOW,PAR
130,2013-05-28 17:00,2013-05-28 08:45,6,15,2013-05-10 23:51,E,MOW,PAR
131,2013-05-28 18:15,2013-05-28 09:35,6,40,2013-05-10 23:51,E,MOW,PAR
132,2013-05-28 17:00,2013-05-28 09:35,5,25,2013-05-10 23:51,E,MOW,PAR
133,2013-05-28 18:15,2013-05-28 10:20,5,55,2013-05-10 23:51,E,MOW,PAR
134,2013-05-29 02:05,2013-05-28 16:40,7,25,2013-05-10 23:51,E,MOW,PAR
135,2013-05-29 02:05,2013-05-28 18:40,5,25,2013-05-10 23:51,E,MOW,PAR
136,2013-05-15 20:15,2013-05-15 16:30,5,45,2013-05-10 23:51,E,MOW,PAR
137,2013-05-28 15:45,2013-05-28 08:55,4,50,2013-05-10 23:51,E,MOW,PAR
138,2013-05-29 03:50,2013-05-28 21:00,4,50,2013-05-10 23:51,E,MOW,PAR
139,2013-05-15 09:25,2013-05-15 05:30,5,55,2013-05-10 23:51,E,MOW,PAR
140,2013-05-15 10:45,2013-05-15 05:30,7,15,2013-05-10 23:51,E,MOW,PAR
141,2013-05-28 17:00,2013-05-28 08:45,6,15,2013-05-10 23:51,E,MOW,PAR
142,2013-05-28 18:15,2013-05-28 09:35,6,40,2013-05-10 23:51,E,MOW,PAR
143,2013-05-28 17:00,2013-05-28 09:35,5,25,2013-05-10 23:51,E,MOW,PAR
144,2013-05-28 18:15,2013-05-28 10:20,5,55,2013-05-10 23:51,E,MOW,PAR
145,2013-05-29 02:05,2013-05-28 16:40,7,25,2013-05-10 23:51,E,MOW,PAR
146,2013-05-29 02:05,2013-05-28 18:40,5,25,2013-05-10 23:51,E,MOW,PAR
147,2013-05-15 22:15,2013-05-15 18:15,6,0,2013-05-10 23:51,E,MOW,PAR
148,2013-05-29 01:25,2013-05-28 16:55,6,30,2013-05-10 23:51,E,MOW,PAR
149,2013-05-15 21:35,2013-05-15 17:15,6,20,2013-05-10 23:51,E,MOW,PAR
150,2013-05-29 04:20,2013-05-28 19:40,6,40,2013-05-10 23:51,E,MOW,PAR
151,2013-05-15 22:20,2013-05-15 16:30,7,50,2013-05-10 23:51,E,MOW,PAR
152,2013-05-28 22:35,2013-05-28 13:25,7,10,2013-05-10 23:51,E,MOW,PAR
