,raw
775,Прилет
776,В пути
777,DME18:1515&nbsp;Мая
778,CDG22:1515&nbsp;Мая
779,6 ч. 0 мин.
780,Вылет
781,Прилет
782,В пути
783,CDG06:1028&nbsp;Мая
784,SVO14:4528&nbsp;Мая
785,6 ч. 35 мин.
786,Вылет
787,Прилет
788,В пути
789,VKO15:4015&nbsp;Мая
790,CDG19:1515&nbsp;Мая
791,5 ч. 35 мин.
792,VKO15:4015&nbsp;Мая
793,CDG21:3515&nbsp;Мая
794,7 ч. 55 мин.
795,Вылет
796,Прилет
797,В пути
798,CDG16:5528&nbsp;Мая
799,DME01:2529&nbsp;Мая
800,6 ч. 30 мин.
801,Вылет
802,Прилет
803,В пути
804,VKO09:2015&nbsp;Мая
805,CDG13:1515&nbsp;Мая
806,5 ч. 55 мин.
807,VKO09:2015&nbsp;Мая
808,CDG14:4515&nbsp;Мая
809,7 ч. 25 мин.
810,Вылет
811,Прилет
812,В пути
813,CDG09:2028&nbsp;Мая
814,DME17:3028&nbsp;Мая
815,6 ч. 10 мин.
816,Вылет
817,Прилет
818,В пути
819,DME07:0515&nbsp;Мая
820,CDG13:1515&nbsp;Мая
821,8 ч. 10 мин.
822,DME07:0515&nbsp;Мая
823,CDG10:4515&nbsp;Мая
824,5 ч. 40 мин.
825,DME13:3515&nbsp;Мая
826,CDG17:0515&nbsp;Мая
827,5 ч. 30 мин.
828,DME13:3515&nbsp;Мая
829,CDG18:1515&nbsp;Мая
830,6 ч. 40 мин.
831,DME13:3515&nbsp;Мая
832,CDG19:2015&nbsp;Мая
833,7 ч. 45 мин.
834,DME17:3515&nbsp;Мая
835,CDG21:3515&nbsp;Мая
836,6 ч. 0 мин.
837,DME17:3515&nbsp;Мая
838,CDG22:4515&nbsp;Мая
839,7 ч. 10 мин.
840,DME18:3015&nbsp;Мая
841,CDG22:4515&nbsp;Мая
842,6 ч. 15 мин.
843,Вылет
844,Прилет
845,В пути
846,CDG09:2028&nbsp;Мая
847,DME17:3028&nbsp;Мая
848,6 ч. 10 мин.
849,Вылет
850,Прилет
851,В пути
852,SVO15:4515&nbsp;Мая
853,CDG19:3515&nbsp;Мая
854,5 ч. 50 мин.
855,SVO15:4515&nbsp;Мая
856,CDG22:0515&nbsp;Мая
857,8 ч. 20 мин.
858,Вылет
859,Прилет
860,В пути
861,CDG07:1528&nbsp;Мая
862,SVO15:1028&nbsp;Мая
863,5 ч. 55 мин.
864,CDG07:1528&nbsp;Мая
865,SVO16:3528&nbsp;Мая
866,7 ч. 20 мин.
867,Вылет
868,Прилет
869,В пути
870,DME10:3515&nbsp;Мая
871,ORY12:4015&nbsp;Мая
872,4 ч. 5 мин.
873,Вылет
874,Прилет
875,В пути
876,ORY09:2028&nbsp;Мая
877,VKO15:0028&nbsp;Мая
878,3 ч. 40 мин.
879,ORY15:3028&nbsp;Мая
880,VKO21:3028&nbsp;Мая
881,4 ч. 0 мин.
882,Вылет
883,Прилет
884,В пути
885,SVO07:2515&nbsp;Мая
886,CDG09:2015&nbsp;Мая
887,3 ч. 55 мин.
888,SVO09:4515&nbsp;Мая
889,CDG11:4015&nbsp;Мая
890,3 ч. 55 мин.
891,SVO12:4015&nbsp;Мая
892,CDG14:3515&nbsp;Мая
893,3 ч. 55 мин.
894,SVO14:1015&nbsp;Мая
895,CDG16:0515&nbsp;Мая
896,3 ч. 55 мин.
897,SVO15:0515&nbsp;Мая
898,CDG17:0015&nbsp;Мая
899,3 ч. 55 мин.
900,SVO16:1515&nbsp;Мая
901,CDG18:1015&nbsp;Мая
902,3 ч. 55 мин.
903,Вылет
