"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","X","comp_name","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum"
"41",10,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",19,"Swiss",4,1,2,4,1,15597,1,1,5
"42",10,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",18,"Air France",4,1,2,4,1,15597,1,1,5
"43",10,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",19,"Swiss",4,1,2,4,1,15597,1,1,5
"44",11,"2013-05-15 09:00","2013-05-15 05:30",5,30,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",20,"Air France",2,1,3,2,1,15598,1,1,3
"45",11,"2013-05-15 09:00","2013-05-15 05:30",5,30,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",21,"Aeroflot",2,1,3,2,1,15598,1,1,3
"46",11,"2013-05-15 09:00","2013-05-15 05:30",5,30,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",22,"Czech Airlines",2,1,3,2,1,15598,1,1,3
"47",11,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",20,"Air France",2,1,3,2,1,15598,1,1,3
"48",11,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",21,"Aeroflot",2,1,3,2,1,15598,1,1,3
"49",11,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",22,"Czech Airlines",2,1,3,2,1,15598,1,1,3
"50",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
"51",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",24,"Czech Airlines",2,3,2,2,3,15598,1,1,5
"52",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
"53",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",24,"Czech Airlines",2,3,2,2,3,15598,1,1,5
"54",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
"55",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",24,"Czech Airlines",2,3,2,2,3,15598,1,1,5
"56",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
"57",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",24,"Czech Airlines",2,3,2,2,3,15598,1,1,5
"58",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
"59",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",24,"Czech Airlines",2,3,2,2,3,15598,1,1,5
"60",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",23,"Air France",2,3,2,2,3,15598,1,1,5
